Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1961","1961","1000 Int. $","589","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1962","1962","1000 Int. $","589","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1963","1963","1000 Int. $","441","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1964","1964","1000 Int. $","441","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1965","1965","1000 Int. $","589","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1966","1966","1000 Int. $","441","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1967","1967","1000 Int. $","589","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1968","1968","1000 Int. $","736","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1969","1969","1000 Int. $","441","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1970","1970","1000 Int. $","655","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1971","1971","1000 Int. $","759","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1972","1972","1000 Int. $","883","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1973","1973","1000 Int. $","1030","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1974","1974","1000 Int. $","736","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1975","1975","1000 Int. $","736","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1976","1976","1000 Int. $","441","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1977","1977","1000 Int. $","441","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1978","1978","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1979","1979","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1980","1980","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1981","1981","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1982","1982","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1983","1983","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1984","1984","1000 Int. $","147","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1985","1985","1000 Int. $","147","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1986","1986","1000 Int. $","147","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1987","1987","1000 Int. $","147","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1988","1988","1000 Int. $","147","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1989","1989","1000 Int. $","147","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1990","1990","1000 Int. $","135","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1991","1991","1000 Int. $","290","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1992","1992","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1993","1993","1000 Int. $","294","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","152","Gross Production Value (constant 2014-2016 thousand I$)","661","Cocoa, beans","1994","1994","1000 Int. $","294","Fc","Calculated data"
