Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts","2","Afghanistan","5610","Import Quantity","661","Cocoa, beans","2014","2014","tonnes","508","X","International reliable sources"
"SCL","Supply Utilization Accounts","2","Afghanistan","5610","Import Quantity","661","Cocoa, beans","2017","2017","tonnes","1","X","International reliable sources"
"SCL","Supply Utilization Accounts","2","Afghanistan","5166","Residuals","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","2","Afghanistan","5166","Residuals","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","2","Afghanistan","5166","Residuals","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","2","Afghanistan","5166","Residuals","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","2","Afghanistan","5166","Residuals","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","2","Afghanistan","5141","Food supply quantity (tonnes)","661","Cocoa, beans","2014","2014","tonnes","508","F","FAO estimate"
"SCL","Supply Utilization Accounts","2","Afghanistan","5141","Food supply quantity (tonnes)","661","Cocoa, beans","2017","2017","tonnes","1","F","FAO estimate"
"SCL","Supply Utilization Accounts","2","Afghanistan","664","Food supply (kcal/capita/day)","661","Cocoa, beans","2014","2014","kcal/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","2","Afghanistan","664","Food supply (kcal/capita/day)","661","Cocoa, beans","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","3","Albania","5113","Opening stocks","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","3","Albania","5113","Opening stocks","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","3","Albania","5113","Opening stocks","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","3","Albania","5113","Opening stocks","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","3","Albania","5113","Opening stocks","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5113","Opening stocks","661","Cocoa, beans","2014","2014","tonnes","1457","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5113","Opening stocks","661","Cocoa, beans","2015","2015","tonnes","1457","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5113","Opening stocks","661","Cocoa, beans","2016","2016","tonnes","1457","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5113","Opening stocks","661","Cocoa, beans","2017","2017","tonnes","1457","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5113","Opening stocks","661","Cocoa, beans","2018","2018","tonnes","1457","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5610","Import Quantity","661","Cocoa, beans","2014","2014","tonnes","5438","","Official data"
"SCL","Supply Utilization Accounts","4","Algeria","5610","Import Quantity","661","Cocoa, beans","2015","2015","tonnes","2100","","Official data"
"SCL","Supply Utilization Accounts","4","Algeria","5610","Import Quantity","661","Cocoa, beans","2016","2016","tonnes","2422","","Official data"
"SCL","Supply Utilization Accounts","4","Algeria","5610","Import Quantity","661","Cocoa, beans","2017","2017","tonnes","1948","","Official data"
"SCL","Supply Utilization Accounts","4","Algeria","5610","Import Quantity","661","Cocoa, beans","2018","2018","tonnes","1853","*","Unofficial figure"
"SCL","Supply Utilization Accounts","4","Algeria","5071","Stock Variation","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5071","Stock Variation","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5071","Stock Variation","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5071","Stock Variation","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5071","Stock Variation","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5023","Processed","661","Cocoa, beans","2014","2014","tonnes","5438","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5023","Processed","661","Cocoa, beans","2015","2015","tonnes","2100","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5023","Processed","661","Cocoa, beans","2016","2016","tonnes","2422","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5023","Processed","661","Cocoa, beans","2017","2017","tonnes","1948","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5023","Processed","661","Cocoa, beans","2018","2018","tonnes","1853","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5166","Residuals","661","Cocoa, beans","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5166","Residuals","661","Cocoa, beans","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5166","Residuals","661","Cocoa, beans","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5166","Residuals","661","Cocoa, beans","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","4","Algeria","5166","Residuals","661","Cocoa, beans","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5113","Opening stocks","661","Cocoa, beans","2014","2014","tonnes","82","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","7","Angola","5113","Opening stocks","661","Cocoa, beans","2015","2015","tonnes","82","Im","FAO data based on imputation methodology"
