,Country,Region,Global South
0,Andorra,Europe,Global North
1,United Arab Emirates,Middle east,Global South
2,Afghanistan,Asia & Pacific,Global South
3,Antigua and Barbuda,South/Latin America,Global South
4,Anguilla,South/Latin America,Global South
5,Albania,Europe,Global North
6,Armenia,Europe,Global North
7,Netherlands Antilles,South/Latin America,Global South
8,Angola,Africa,Global South
9,Antarctica,Asia & Pacific,Global South
10,Argentina,South/Latin America,Global South
11,American Samoa,Asia & Pacific,Global South
12,Austria,Europe,Global North
13,Australia,Asia & Pacific,Global North
14,Aruba,South/Latin America,Global South
15,Azerbaijan,Asia & Pacific,Global North
16,Bosnia and Herzegovina,Europe,Global North
17,Barbados,South/Latin America,Global South
18,Bangladesh,Asia & Pacific,Global South
19,Belgium,Europe,Global North
20,Burkina Faso,Africa,Global South
21,Bulgaria,Europe,Global North
22,Bahrain,Arab States,Global South
23,Burundi,Africa,Global South
24,Benin,Africa,Global South
25,Bermuda,South/Latin America,Global South
26,Brunei Darussalam,Asia & Pacific,Global South
27,Bolivia,South/Latin America,Global South
28,Brazil,South/Latin America,Global South
29,Bahamas,South/Latin America,Global South
30,Bhutan,Asia & Pacific,Global South
31,Bouvet Island,South/Latin America,Global South
32,Botswana,Africa,Global South
33,Belarus,Europe,Global North
34,Belize,South/Latin America,Global South
35,Canada,North America,Global North
36,Cocos (Keeling) Islands,Asia & Pacific,Global South
37,"Congo, The Democratic Republic of the",Africa,Global South
38,Central African Republic,Africa,Global South
39,Congo,Africa,Global South
40,Switzerland,Europe,Global North
41,Côte D'Ivoire,Africa,Global South
42,Cook Islands,Asia & Pacific,Global South
43,Chile,South/Latin America,Global South
44,Cameroon,Africa,Global South
45,China,Asia & Pacific,Global South
46,Colombia,South/Latin America,Global South
47,Costa Rica,South/Latin America,Global South
48,Cuba,South/Latin America,Global South
49,Cape Verde,Africa,Global South
50,Christmas Island,Asia & Pacific,Global South
51,Cyprus,Europe,Global North
52,Czech Republic,Europe,Global North
53,Germany,Europe,Global North
54,Djibouti,Arab States,Global South
55,Denmark,Europe,Global North
56,Dominica,South/Latin America,Global South
57,Dominican Republic,South/Latin America,Global South
58,Algeria,Arab States,Global South
59,Ecuador,South/Latin America,Global South
60,Estonia,Europe,Global North
61,Egypt,Middle east,Global South
62,Western Sahara,Africa,Global South
63,Eritrea,Africa,Global South
64,Spain,Europe,Global North
65,Ethiopia,Africa,Global South
66,Finland,Europe,Global North
67,Fiji,Asia & Pacific,Global South
68,Falkland Islands (Malvinas),South/Latin America,Global South
69,"Micronesia, Federated States of",Asia & Pacific,Global South
70,Faroe Islands,Europe,Global North
71,France,Europe,Global North
72,"France, Metropolitan",Europe,Global North
73,Gabon,Africa,Global South
74,United Kingdom,Europe,Global North
75,Grenada,South/Latin America,Global South
76,Georgia,Europe,Global North
77,French Guiana,South/Latin America,Global South
78,Ghana,Africa,Global South
79,Gibraltar,Europe,Global North
80,Greenland,Europe,Global North
81,Gambia,Africa,Global South
82,Guinea,Africa,Global South
83,Guadeloupe,South/Latin America,Global South
84,Equatorial Guinea,Africa,Global South
85,Greece,Europe,Global North
86,South Georgia and the South Sandwich Islands,South/Latin America,Global South
87,Guatemala,South/Latin America,Global South
88,Guam,Asia & Pacific,Global South
89,Guinea-Bissau,Africa,Global South
90,Guyana,South/Latin America,Global South
91,Hong Kong,Asia & Pacific,Global South
92,Heard Island and McDonald Islands,Asia & Pacific,Global South
93,Honduras,South/Latin America,Global South
94,Croatia,Europe,Global North
95,Haiti,South/Latin America,Global South
96,Hungary,Europe,Global North
97,Indonesia,Asia & Pacific,Global South
98,Ireland,Europe,Global North
99,Israel,Europe,Global North
100,India,Asia & Pacific,Global South
101,British Indian Ocean Territory,Asia & Pacific,Global South
102,Iraq,Middle east,Global South
103,"Iran, Islamic Republic of",Middle east,Global South
104,Iceland,Europe,Global North
105,Italy,Europe,Global North
106,Jamaica,South/Latin America,Global South
107,Jordan,Middle east,Global South
108,Japan,Asia & Pacific,Global North
109,Kenya,Africa,Global South
110,Kyrgyzstan,Asia & Pacific,Global South
111,Cambodia,Asia & Pacific,Global South
112,Kiribati,Asia & Pacific,Global South
113,Comoros,Arab States,Global South
114,Saint Kitts and Nevis,South/Latin America,Global South
115,"Korea, Democratic People's Republic of",Asia & Pacific,Global South
116,"Korea, Republic of",Asia & Pacific,Global North
117,Kuwait,Middle east,Global South
118,Cayman Islands,South/Latin America,Global South
119,Kazakhstan,Asia & Pacific,Global North
120,Lao People's Democratic Republic,Asia & Pacific,Global South
121,Lebanon,Middle east,Global South
122,Saint Lucia,South/Latin America,Global South
123,Liechtenstein,Europe,Global North
124,Sri Lanka,Asia & Pacific,Global South
125,Liberia,Africa,Global South
126,Lesotho,Africa,Global South
127,Lithuania,Europe,Global North
128,Luxembourg,Europe,Global North
129,Latvia,Europe,Global North
130,Libya,Middle east,Global South
131,Morocco,Arab States,Global South
132,Monaco,Europe,Global North
133,"Moldova, Republic of",Europe,Global North
134,Madagascar,Africa,Global South
135,Marshall Islands,Asia & Pacific,Global South
136,Macedonia,Europe,Global North
137,Mali,Africa,Global South
138,Myanmar,Asia & Pacific,Global South
139,Mongolia,Asia & Pacific,Global South
140,Macau,Asia & Pacific,Global South
141,Northern Mariana Islands,Asia & Pacific,Global South
142,Martinique,South/Latin America,Global South
143,Mauritania,Arab States,Global South
144,Montserrat,South/Latin America,Global South
145,Malta,Europe,Global North
146,Mauritius,Africa,Global South
147,Maldives,Asia & Pacific,Global South
148,Malawi,Africa,Global South
149,Mexico,South/Latin America,Global South
150,Malaysia,Asia & Pacific,Global South
151,Mozambique,Africa,Global South
152,Namibia,Africa,Global South
153,New Caledonia,Asia & Pacific,Global South
154,Niger,Africa,Global South
155,Norfolk Island,Asia & Pacific,Global South
156,Nigeria,Africa,Global South
157,Nicaragua,South/Latin America,Global South
158,Netherlands,Europe,Global North
159,Norway,Europe,Global North
160,Nepal,Asia & Pacific,Global South
161,Nauru,Asia & Pacific,Global South
162,Niue,Asia & Pacific,Global South
163,New Zealand,Asia & Pacific,Global North
164,Oman,Middle east,Global South
165,Panama,South/Latin America,Global South
166,Peru,South/Latin America,Global South
167,French Polynesia,Asia & Pacific,Global South
168,Papua New Guinea,Asia & Pacific,Global South
169,Philippines,Asia & Pacific,Global South
170,Pakistan,Asia & Pacific,Global South
171,Poland,Europe,Global North
172,Saint Pierre and Miquelon,North America,Global North
173,Pitcairn Islands,Asia & Pacific,Global South
174,Puerto Rico,South/Latin America,Global South
175,Palestinian Territory,Arab States,Global South
176,Portugal,Europe,Global North
177,Palau,Asia & Pacific,Global South
178,Paraguay,South/Latin America,Global South
179,Qatar,Middle east,Global South
180,Reunion,Asia & Pacific,Global South
181,Romania,Europe,Global North
182,Russian Federation,Europe,Global North
183,Rwanda,Africa,Global South
184,Saudi Arabia,Middle east,Global South
185,Solomon Islands,Asia & Pacific,Global South
186,Seychelles,Africa,Global South
187,South Sudan,Africa,Global South
188,Sudan,Arab States,Global South
189,Sweden,Europe,Global North
190,Singapore,Asia & Pacific,Global North
191,Saint Helena,Africa,Global South
192,Slovenia,Europe,Global North
193,Svalbard and Jan Mayen,Europe,Global North
194,Slovakia,Europe,Global North
195,Sierra Leone,Africa,Global South
196,San Marino,Europe,Global North
197,Senegal,Africa,Global South
198,Somalia,Arab States,Global South
199,Suriname,South/Latin America,Global South
200,Sao Tome and Principe,Africa,Global South
201,El Salvador,South/Latin America,Global South
202,Syrian Arab Republic,Asia & Pacific,Global South
203,Swaziland,Africa,Global South
204,Turks and Caicos Islands,South/Latin America,Global South
205,Chad,Africa,Global South
206,French Southern Territories,Asia & Pacific,Global South
207,Togo,Africa,Global South
208,Thailand,Asia & Pacific,Global South
209,Tajikistan,Asia & Pacific,Global South
210,Tokelau,Asia & Pacific,Global South
211,Turkmenistan,Asia & Pacific,Global South
212,Tunisia,Arab States,Global South
213,Tonga,Asia & Pacific,Global South
214,Timor-Leste,Asia & Pacific,Global South
215,Turkey,Europe,Global North
216,Trinidad and Tobago,South/Latin America,Global South
217,Tuvalu,Asia & Pacific,Global South
218,Taiwan,Asia & Pacific,Global North
219,"Tanzania, United Republic of",Africa,Global South
220,Ukraine,Europe,Global North
221,Uganda,Africa,Global South
222,United States Minor Outlying Islands,Asia & Pacific,Global South
223,United States,North America,Global North
224,Uruguay,South/Latin America,Global South
225,Uzbekistan,Asia & Pacific,Global South
226,Holy See (Vatican City State),Europe,Global North
227,Saint Vincent and the Grenadines,South/Latin America,Global South
228,Venezuela,South/Latin America,Global South
229,"Virgin Islands, British",South/Latin America,Global South
230,"Virgin Islands, U.S.",South/Latin America,Global South
231,Vietnam,Asia & Pacific,Global South
232,Vanuatu,Asia & Pacific,Global South
233,Wallis and Futuna,Asia & Pacific,Global South
234,Samoa,Asia & Pacific,Global South
