Region,Year,Area_unit,Area_harvested,Production_unit,Production,Yield_unit,Yield
Africa,1961,ha,3017100.0,tonnes,744077.0,hg/ha,2661.3333333333335
Africa,1962,ha,3066400.0,tonnes,750336.0,hg/ha,2631.733333333333
Africa,1963,ha,3085150.0,tonnes,801775.0,hg/ha,2711.5333333333333
Africa,1964,ha,3121390.0,tonnes,1045990.0,hg/ha,3045.133333333333
Africa,1965,ha,3102955.0,tonnes,748040.0,hg/ha,2566.8
Africa,1966,ha,2655750.0,tonnes,814517.0,hg/ha,2797.5333333333333
Africa,1967,ha,2741982.0,tonnes,831110.0,hg/ha,2865.2
Africa,1968,ha,2605170.0,tonnes,706199.0,hg/ha,2858.866666666667
Africa,1969,ha,2745420.0,tonnes,818606.0,hg/ha,2813.133333333333
Africa,1970,ha,2770760.0,tonnes,935031.0,hg/ha,3093.6
Africa,1971,ha,2829141.0,tonnes,945609.0,hg/ha,3084.133333333333
Africa,1972,ha,2689417.0,tonnes,844038.0,hg/ha,2960.6666666666665
Africa,1973,ha,2669992.0,tonnes,751806.0,hg/ha,2861.5333333333333
Africa,1974,ha,2657587.0,tonnes,777749.0,hg/ha,2805.8
Africa,1975,ha,2663920.0,tonnes,766974.0,hg/ha,2888.9333333333334
Africa,1976,ha,2618246.0,tonnes,637605.0,hg/ha,2533.133333333333
Africa,1977,ha,2539859.0,tonnes,625547.0,hg/ha,2587.133333333333
Africa,1978,ha,2548267.0,tonnes,584803.0,hg/ha,2377.6
Africa,1979,ha,2556126.0,tonnes,609967.0,hg/ha,2529.6666666666665
Africa,1980,ha,2572917.0,tonnes,601617.0,hg/ha,2372.4
Africa,1981,ha,2564541.0,tonnes,593247.0,hg/ha,2321.266666666667
Africa,1982,ha,2257989.0,tonnes,520880.0,hg/ha,2323.9333333333334
Africa,1983,ha,2167100.0,tonnes,473468.0,hg/ha,2222.733333333333
Africa,1984,ha,2167950.0,tonnes,502209.0,hg/ha,2282.4666666666667
Africa,1985,ha,2281990.0,tonnes,530493.0,hg/ha,2148.2
Africa,1986,ha,2278643.0,tonnes,554310.0,hg/ha,2068.9333333333334
Africa,1987,ha,2146255.0,tonnes,530623.0,hg/ha,2103.6666666666665
Africa,1988,ha,2097046.0,tonnes,687187.0,hg/ha,2475.9333333333334
Africa,1989,ha,2094150.0,tonnes,736376.0,hg/ha,2699.2
Africa,1990,ha,2018876.0,tonnes,704933.0,hg/ha,2454.4666666666667
Africa,1991,ha,2025452.0,tonnes,662619.0,hg/ha,2322.133333333333
Africa,1992,ha,1978944.0,tonnes,734921.0,hg/ha,2669.733333333333
Africa,1993,ha,1921740.0,tonnes,694541.0,hg/ha,2829.733333333333
Africa,1994,ha,1962545.0,tonnes,755988.0,hg/ha,2680.6
Africa,1995,ha,2305637.0,tonnes,779557.0,hg/ha,2835.866666666667
Africa,1996,ha,2349157.0,tonnes,900125.0,hg/ha,2933.4
Africa,1997,ha,2358091.0,tonnes,810943.0,hg/ha,2928.6666666666665
Africa,1998,ha,2677827.0,tonnes,960255.0,hg/ha,3020.6
